token,경주빈도,전주빈도,빈도합,경주비율,전주비율
카카오,5,0,5,100.00%,0.00%
어른,5,0,5,100.00%,0.00%
블로그,5,0,5,100.00%,0.00%
보문관광단지,5,0,5,100.00%,0.00%
보문단지,5,0,5,100.00%,0.00%
보문단지권,5,0,5,100.00%,0.00%
보문단지이구요,5,0,5,100.00%,0.00%
봄바람,5,0,5,100.00%,0.00%
부산에서경주,5,0,5,100.00%,0.00%
부탁드려용,5,0,5,100.00%,0.00%
분류,5,0,5,100.00%,0.00%
불국사권,5,0,5,100.00%,0.00%
비공개,5,0,5,100.00%,0.00%
벚꽃들,5,0,5,100.00%,0.00%
빌려입고,5,0,5,100.00%,0.00%
빡센가,5,0,5,100.00%,0.00%
사실상,5,0,5,100.00%,0.00%
사전,5,0,5,100.00%,0.00%
생물학적,5,0,5,100.00%,0.00%
생활,5,0,5,100.00%,0.00%
서울이구요,5,0,5,100.00%,0.00%
선배님,5,0,5,100.00%,0.00%
소개할게요,5,0,5,100.00%,0.00%
별궁터,5,0,5,100.00%,0.00%
번국도변,5,0,5,100.00%,0.00%
소소한,5,0,5,100.00%,0.00%
못돌아다니,5,0,5,100.00%,0.00%
많은데요,5,0,5,100.00%,0.00%
말만되,5,0,5,100.00%,0.00%
맛집추천,5,0,5,100.00%,0.00%
매일,5,0,5,100.00%,0.00%
메인,5,0,5,100.00%,0.00%
며칠,5,0,5,100.00%,0.00%
몇달전,5,0,5,100.00%,0.00%
모르겟네요,5,0,5,100.00%,0.00%
모텔,5,0,5,100.00%,0.00%
뭐뭐있는지,5,0,5,100.00%,0.00%
배달,5,0,5,100.00%,0.00%
뭐이런곳,5,0,5,100.00%,0.00%
미성년자,5,0,5,100.00%,0.00%
바니베어뮤지엄,5,0,5,100.00%,0.00%
바다위주,5,0,5,100.00%,0.00%
바람,5,0,5,100.00%,0.00%
바탕,5,0,5,100.00%,0.00%
박이,5,0,5,100.00%,0.00%
밤야경과숙소및먹거리추천부탁합니다,5,0,5,100.00%,0.00%
방법,5,0,5,100.00%,0.00%
소개해주세요경경주,5,0,5,100.00%,0.00%
솔거미술관,5,0,5,100.00%,0.00%
막막,5,0,5,100.00%,0.00%
어머님,5,0,5,100.00%,0.00%
알거에요,5,0,5,100.00%,0.00%
어디공항,5,0,5,100.00%,0.00%
어디공항으로가야,5,0,5,100.00%,0.00%
어딘가요,5,0,5,100.00%,0.00%
어딜가야할지모르,5,0,5,100.00%,0.00%
어떤가요,5,0,5,100.00%,0.00%
어려움,5,0,5,100.00%,0.00%
어르신들과함께,5,0,5,100.00%,0.00%
어린애들,5,0,5,100.00%,0.00%
언니,5,0,5,100.00%,0.00%
안가봤어요,5,0,5,100.00%,0.00%
언덕,5,0,5,100.00%,0.00%
엄마아빠,5,0,5,100.00%,0.00%
엄마혼자,5,0,5,100.00%,0.00%
여권,5,0,5,100.00%,0.00%
여동생,5,0,5,100.00%,0.00%
여러분들,5,0,5,100.00%,0.00%
여름방학,5,0,5,100.00%,0.00%
여유로운,5,0,5,100.00%,0.00%
여쭤볼게있습니다,5,0,5,100.00%,0.00%
안내소,5,0,5,100.00%,0.00%
아버지,5,0,5,100.00%,0.00%
솔직,5,0,5,100.00%,0.00%
식물원,5,0,5,100.00%,0.00%
수있는곳,5,0,5,100.00%,0.00%
수학여행,5,0,5,100.00%,0.00%
숙소추천,5,0,5,100.00%,0.00%
술집,5,0,5,100.00%,0.00%
시경,5,0,5,100.00%,0.00%
시기상,5,0,5,100.00%,0.00%
시내,5,0,5,100.00%,0.00%
시내버스투어,5,0,5,100.00%,0.00%
시즌,5,0,5,100.00%,0.00%
식사,5,0,5,100.00%,0.00%
아랫시장,5,0,5,100.00%,0.00%
신경주역,5,0,5,100.00%,0.00%
신라시대,5,0,5,100.00%,0.00%
신상,5,0,5,100.00%,0.00%
실내,5,0,5,100.00%,0.00%
실내관광,5,0,5,100.00%,0.00%
실제,5,0,5,100.00%,0.00%
실행,5,0,5,100.00%,0.00%
아니였음,5,0,5,100.00%,0.00%
아래코스,5,0,5,100.00%,0.00%
많은관광지,5,0,5,100.00%,0.00%
마지막,5,0,5,100.00%,0.00%
역사에무지한,5,0,5,100.00%,0.00%
곳있을까영,5,0,5,100.00%,0.00%
경주시내권,5,0,5,100.00%,0.00%
경주신축펜션,5,0,5,100.00%,0.00%
경주역하차,5,0,5,100.00%,0.00%
경주중앙시장,5,0,5,100.00%,0.00%
경험담,5,0,5,100.00%,0.00%
계획인데요,5,0,5,100.00%,0.00%
계획하시,5,0,5,100.00%,0.00%
고등학생때,5,0,5,100.00%,0.00%
고속버스타,5,0,5,100.00%,0.00%
공부,5,0,5,100.00%,0.00%
경주숙소,5,0,5,100.00%,0.00%
공항,5,0,5,100.00%,0.00%
관련질문,5,0,5,100.00%,0.00%
관련해,5,0,5,100.00%,0.00%
관심,5,0,5,100.00%,0.00%
교복사진찍고,5,0,5,100.00%,0.00%
교통편,5,0,5,100.00%,0.00%
구경하기,5,0,5,100.00%,0.00%
구매,5,0,5,100.00%,0.00%
구체적,5,0,5,100.00%,0.00%
경주숙소위치,5,0,5,100.00%,0.00%
경주보문단지내,5,0,5,100.00%,0.00%
군요,5,0,5,100.00%,0.00%
객실,5,0,5,100.00%,0.00%
가려구요,5,0,5,100.00%,0.00%
가보는곳,5,0,5,100.00%,0.00%
가시면,5,0,5,100.00%,0.00%
가져고하는데요,5,0,5,100.00%,0.00%
갈건데요,5,0,5,100.00%,0.00%
감상,5,0,5,100.00%,0.00%
감성,5,0,5,100.00%,0.00%
개별바베큐장,5,0,5,100.00%,0.00%
개화,5,0,5,100.00%,0.00%
거리멀면,5,0,5,100.00%,0.00%
경주보문,5,0,5,100.00%,0.00%
걷는건,5,0,5,100.00%,0.00%
겨울,5,0,5,100.00%,0.00%
결과,5,0,5,100.00%,0.00%
결혼기념일,5,0,5,100.00%,0.00%
겸사겸사,5,0,5,100.00%,0.00%
경기도권,5,0,5,100.00%,0.00%
경량패딩,5,0,5,100.00%,0.00%
경주가볼만한곳,5,0,5,100.00%,0.00%
경주동궁원,5,0,5,100.00%,0.00%
국내최초,5,0,5,100.00%,0.00%
권역별,5,0,5,100.00%,0.00%
마구마구,5,0,5,100.00%,0.00%
동네이름,5,0,5,100.00%,0.00%
대릉원인근,5,0,5,100.00%,0.00%
대부부,5,0,5,100.00%,0.00%
대상,5,0,5,100.00%,0.00%
대원릉,5,0,5,100.00%,0.00%
대중교통타,5,0,5,100.00%,0.00%
도보이동,5,0,5,100.00%,0.00%
도움되셨길,5,0,5,100.00%,0.00%
돌아볼곳,5,0,5,100.00%,0.00%
동굴과월지,5,0,5,100.00%,0.00%
동선낭비,5,0,5,100.00%,0.00%
대공원,5,0,5,100.00%,0.00%
동선별,5,0,5,100.00%,0.00%
뚜벅이,5,0,5,100.00%,0.00%
뚜벅이라,5,0,5,100.00%,0.00%
라구스힐,5,0,5,100.00%,0.00%
랜드마크,5,0,5,100.00%,0.00%
렌터카,5,0,5,100.00%,0.00%
렌트카이용,5,0,5,100.00%,0.00%
렌트해서,5,0,5,100.00%,0.00%
루지공원,5,0,5,100.00%,0.00%
대구,5,0,5,100.00%,0.00%
당일,5,0,5,100.00%,0.00%
그곳,5,0,5,100.00%,0.00%
나온거,5,0,5,100.00%,0.00%
그동안,5,0,5,100.00%,0.00%
그쯤,5,0,5,100.00%,0.00%
기반,5,0,5,100.00%,0.00%
기본적,5,0,5,100.00%,0.00%
기상청,5,0,5,100.00%,0.00%
기온,5,0,5,100.00%,0.00%
기준,5,0,5,100.00%,0.00%
꼭가봐야한다하,5,0,5,100.00%,0.00%
나빌레라스테,5,0,5,100.00%,0.00%
나이제한이,5,0,5,100.00%,0.00%
달동네,5,0,5,100.00%,0.00%
날씨가어떤가요,5,0,5,100.00%,0.00%
낭만,5,0,5,100.00%,0.00%
내년,5,0,5,100.00%,0.00%
내집,5,0,5,100.00%,0.00%
네이버,5,0,5,100.00%,0.00%
뉴스보,5,0,5,100.00%,0.00%
늦은시간,5,0,5,100.00%,0.00%
다녀오신분들,5,0,5,100.00%,0.00%
다들,5,0,5,100.00%,0.00%
여행스케쥴,5,0,5,100.00%,0.00%
엑스포공원,5,0,5,100.00%,0.00%
예약안했어요,5,0,5,100.00%,0.00%
친정엄마,5,0,5,100.00%,0.00%
추억의달동네,5,0,5,100.00%,0.00%
추천드릴테,5,0,5,100.00%,0.00%
추천할수도있을까요,5,0,5,100.00%,0.00%
추천해드리,5,0,5,100.00%,0.00%
예전,5,0,5,100.00%,0.00%
충분,5,0,5,100.00%,0.00%
친구들이,5,0,5,100.00%,0.00%
카메라,5,0,5,100.00%,0.00%
코트,5,0,5,100.00%,0.00%
카트라이더,5,0,5,100.00%,0.00%
카페입니다포토존,5,0,5,100.00%,0.00%
커플끼리간다,5,0,5,100.00%,0.00%
코레,5,0,5,100.00%,0.00%
코로나끝나,5,0,5,100.00%,0.00%
코스보고,5,0,5,100.00%,0.00%
코스요,5,0,5,100.00%,0.00%
추석기간,5,0,5,100.00%,0.00%
최적,5,0,5,100.00%,0.00%
초보운전,5,0,5,100.00%,0.00%
초등학생데리,5,0,5,100.00%,0.00%
쭈니아빠,5,0,5,100.00%,0.00%
쭈니아빠입니,5,0,5,100.00%,0.00%
차타구,5,0,5,100.00%,0.00%
참고해,5,0,5,100.00%,0.00%
채택해,5,0,5,100.00%,0.00%
처음가는곳,5,0,5,100.00%,0.00%
처음이,5,0,5,100.00%,0.00%
처음이라서요,5,0,5,100.00%,0.00%
천군동,5,0,5,100.00%,0.00%
첨성대코스,5,0,5,100.00%,0.00%
청공한옥스테이,5,0,5,100.00%,0.00%
청소년증,5,0,5,100.00%,0.00%
체크인,5,0,5,100.00%,0.00%
체험코스,5,0,5,100.00%,0.00%
초등학생,5,0,5,100.00%,0.00%
코스짜,5,0,5,100.00%,0.00%
퀄리티,5,0,5,100.00%,0.00%
진짜,5,0,5,100.00%,0.00%
형편,5,0,5,100.00%,0.00%
할려하는데,5,0,5,100.00%,0.00%
함니다,5,0,5,100.00%,0.00%
핫플,5,0,5,100.00%,0.00%
핫플레이스,5,0,5,100.00%,0.00%
해결책,5,0,5,100.00%,0.00%
해주셍,5,0,5,100.00%,0.00%
행복,5,0,5,100.00%,0.00%
환절기,5,0,5,100.00%,0.00%
택시잡거,5,0,5,100.00%,0.00%
활동,5,0,5,100.00%,0.00%
활용하시,5,0,5,100.00%,0.00%
황남고택,5,0,5,100.00%,0.00%
황남관한옥호텔,5,0,5,100.00%,0.00%
황리단,5,0,5,100.00%,0.00%
황리단길이랑,5,0,5,100.00%,0.00%
힐링,5,0,5,100.00%,0.00%
할려,5,0,5,100.00%,0.00%
할곳답변드릴게요,5,0,5,100.00%,0.00%
할거,5,0,5,100.00%,0.00%
한화리조트,5,0,5,100.00%,0.00%
택시잡기,5,0,5,100.00%,0.00%
택시타세용,5,0,5,100.00%,0.00%
테마파크,5,0,5,100.00%,0.00%
토함산,5,0,5,100.00%,0.00%
패딩,5,0,5,100.00%,0.00%
펜션입니다,5,0,5,100.00%,0.00%
평지,5,0,5,100.00%,0.00%
포스팅,5,0,5,100.00%,0.00%
포항경주,5,0,5,100.00%,0.00%
포항경주공항,5,0,5,100.00%,0.00%
폴라로이드,5,0,5,100.00%,0.00%
풀빌라오세요,5,0,5,100.00%,0.00%
풀빌라펜션,5,0,5,100.00%,0.00%
피해,5,0,5,100.00%,0.00%
한복나드리,5,0,5,100.00%,0.00%
쪄죽을정도,5,0,5,100.00%,0.00%
출발지,5,0,5,100.00%,0.00%
진지,5,0,5,100.00%,0.00%
의미,5,0,5,100.00%,0.00%
이동할꺼구요,5,0,5,100.00%,0.00%
이동해,5,0,5,100.00%,0.00%
이런걸,5,0,5,100.00%,0.00%
이맘때,5,0,5,100.00%,0.00%
이용시,5,0,5,100.00%,0.00%
이용해서,5,0,5,100.00%,0.00%
이참,5,0,5,100.00%,0.00%
이튿날,5,0,5,100.00%,0.00%
이후,5,0,5,100.00%,0.00%
인가족,5,0,5,100.00%,0.00%
인테리어,5,0,5,100.00%,0.00%
일단불국사가,5,0,5,100.00%,0.00%
일찍아침,5,0,5,100.00%,0.00%
일코스,5,0,5,100.00%,0.00%
입실,5,0,5,100.00%,0.00%
이구요,5,0,5,100.00%,0.00%
유산,5,0,5,100.00%,0.00%
자전거,5,0,5,100.00%,0.00%
월지인데요,5,0,5,100.00%,0.00%
예정인데요,5,0,5,100.00%,0.00%
오랫동안,5,0,5,100.00%,0.00%
오붓,5,0,5,100.00%,0.00%
옵션,5,0,5,100.00%,0.00%
왕자,5,0,5,100.00%,0.00%
요즘,5,0,5,100.00%,0.00%
우양미술관,5,0,5,100.00%,0.00%
운영시간,5,0,5,100.00%,0.00%
운전,5,0,5,100.00%,0.00%
운전하는거,5,0,5,100.00%,0.00%
지리적인건,5,0,5,100.00%,0.00%
원하신대,5,0,5,100.00%,0.00%
월드,5,0,5,100.00%,0.00%
월드컵,5,0,5,100.00%,0.00%
월여행,5,0,5,100.00%,0.00%
있다보,5,0,5,100.00%,0.00%
울산가,5,0,5,100.00%,0.00%
작년,5,0,5,100.00%,0.00%
좀요,5,0,5,100.00%,0.00%
좋겠습니당,5,0,5,100.00%,0.00%
좋은하루,5,0,5,100.00%,0.00%
좋을곳,5,0,5,100.00%,0.00%
좋을꺼,5,0,5,100.00%,0.00%
주중,5,0,5,100.00%,0.00%
주차,5,0,5,100.00%,0.00%
주차한,5,0,5,100.00%,0.00%
주후,5,0,5,100.00%,0.00%
준비중인데요,5,0,5,100.00%,0.00%
중반,5,0,5,100.00%,0.00%
중순쯤,5,0,5,100.00%,0.00%
중학교때,5,0,5,100.00%,0.00%
중학생,5,0,5,100.00%,0.00%
즐거운,5,0,5,100.00%,0.00%
작성일방금,5,0,5,100.00%,0.00%
좋겟어요,5,0,5,100.00%,0.00%
준비중이,5,0,5,100.00%,0.00%
조회수,5,0,5,100.00%,0.00%
저렴한숙소,5,0,5,100.00%,0.00%
작품,5,0,5,100.00%,0.00%
조화,5,0,5,100.00%,0.00%
장소들,5,0,5,100.00%,0.00%
장소별,5,0,5,100.00%,0.00%
장소좀,5,0,5,100.00%,0.00%
재미,5,0,5,100.00%,0.00%
저렴한,5,0,5,100.00%,0.00%
재밌,5,0,5,100.00%,0.00%
저번,5,0,5,100.00%,0.00%
조금,5,0,5,100.00%,0.00%
저번주,5,0,5,100.00%,0.00%
조언부탁드,5,0,5,100.00%,0.00%
정성,5,0,5,100.00%,0.00%
정신적,5,0,5,100.00%,0.00%
제안해,5,0,5,100.00%,0.00%
전주시외버스공용터미널,0,4,4,0.00%,100.00%
순서좀,0,4,4,0.00%,100.00%
순서,0,4,4,0.00%,100.00%
빠른답변,0,4,4,0.00%,100.00%
부탁드랴용,0,4,4,0.00%,100.00%
분위기,0,4,4,0.00%,100.00%
내부,0,4,4,0.00%,100.00%
가기로해,0,4,4,0.00%,100.00%
한옥느낌,0,4,4,0.00%,100.00%
된곳이요,0,4,4,0.00%,100.00%
정감,0,4,4,0.00%,100.00%
보문,4,0,4,100.00%,0.00%
외동,4,0,4,100.00%,0.00%
산업,4,0,4,100.00%,0.00%
불국동행정복지센터옆,4,0,4,100.00%,0.00%
불국,4,0,4,100.00%,0.00%
배달지역,4,0,4,100.00%,0.00%
경주시,4,0,4,100.00%,0.00%
광고,0,3,3,0.00%,100.00%
드려,0,3,3,0.00%,100.00%
에루화,0,3,3,0.00%,100.00%
떡갈비,0,3,3,0.00%,100.00%
터미널쪽,0,3,3,0.00%,100.00%
추천해주세,0,3,3,0.00%,100.00%
오목대주변,0,3,3,0.00%,100.00%
고등학생,3,0,3,100.00%,0.00%
레일바이크,0,3,3,0.00%,100.00%
아중저수지,0,3,3,0.00%,100.00%
먹을만한거,0,3,3,0.00%,100.00%
딸래미,3,0,3,100.00%,0.00%
로또되,3,0,3,100.00%,0.00%
저녁식사,3,0,3,100.00%,0.00%
조립식,3,0,3,100.00%,0.00%
컴퓨터,3,0,3,100.00%,0.00%
하시,3,0,3,100.00%,0.00%
한국의,3,0,3,100.00%,0.00%
해몽,3,0,3,100.00%,0.00%
주머니,2,0,2,100.00%,0.00%
본인,2,0,2,100.00%,0.00%
생각해,2,0,2,100.00%,0.00%
큰돈,2,0,2,100.00%,0.00%
쓰기나름,2,0,2,100.00%,0.00%
커플여행,0,2,2,0.00%,100.00%
아는사람,0,2,2,0.00%,100.00%
대전,0,2,2,0.00%,100.00%
않겠조,2,0,2,100.00%,0.00%
여유,2,0,2,100.00%,0.00%
정서,2,0,2,100.00%,0.00%
식대,2,0,2,100.00%,0.00%
찜질방,0,1,1,0.00%,100.00%
좋은가격,0,1,1,0.00%,100.00%
얼마정도갖고가면좋을까요,0,1,1,0.00%,100.00%
시외버스터미널,0,1,1,0.00%,100.00%
맛집같은거,0,1,1,0.00%,100.00%
황룡사지,1,0,1,100.00%,0.00%
하시기,1,0,1,100.00%,0.00%
공원,1,0,1,100.00%,0.00%
국립경주박물관,1,0,1,100.00%,0.00%
기림사,1,0,1,100.00%,0.00%
대명,1,0,1,100.00%,0.00%
무열왕릉,1,0,1,100.00%,0.00%
부처골,1,0,1,100.00%,0.00%
분황사,1,0,1,100.00%,0.00%
새벽,1,0,1,100.00%,0.00%
오릉,1,0,1,100.00%,0.00%
유쾌,1,0,1,100.00%,0.00%
일동안,1,0,1,100.00%,0.00%
콘도,1,0,1,100.00%,0.00%
카페같은거,0,1,1,0.00%,100.00%
